2025-06-21 10:50:57,017 - INFO - Conectado a COM9 @ 115200 bps
2025-06-21 10:50:58,026 - ERROR - Error en lectura: 'utf-8' codec can't decode byte 0xa2 in position 0: invalid start byte
2025-06-21 10:51:14,905 - INFO - TX >> M:20.00,20.00
2025-06-21 10:52:16,143 - INFO - TX >> M:20.00,20.00
2025-06-21 10:52:17,177 - ERROR - Error en lectura: 'utf-8' codec can't decode byte 0xa5 in position 0: invalid start byte
2025-06-21 10:52:21,424 - INFO - TX >> H
2025-06-21 10:52:41,759 - INFO - TX >> ?
2025-06-21 10:53:21,697 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,712 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,728 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,743 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,758 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,774 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,821 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,836 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,851 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,867 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:21,882 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
